text;target
Sez Trump-I am not going to show my tax returns or medical records but TRUST ME! And it's none of your business anyway!  #nevertrump;1
@psjohnson23 @realDonaldTrump Wrong? Irrational says the serf! No it's not! I knew we'd hard right or Left! I'd prefer hard right BUT wrong!;1
Thank you Mr.Trump! We will finally have someone to lean on! Video: Lean on Me! https://www.youtu,https://t.co/gyJglzjNTj  #Trump #laflood;0
#BasketOfDeplorables #hypocritehillary #neverhillary #CrookedHillary insulted Americans you disagree with her https://t.co/s4PH6p764U;1
"David&lt;--U realize thatsa dumb..Mike..spin it- means ya fear the truth..@sxdoc @Karennola719 @realDonaldTrump 
@Dbargen @mrwalsh8 @MeemsKaso";1
@realDonaldTrump You and all your supporters were ment  to be wet spots on  bed sheets  so yeah just  be glad daddy couldn't pull out.;1
After two failed marriages himself, sexist Donald Trump attacks Huma Abedin for her HUSBAND'S infidelities?? Unbelievable. #ImWithHer @GMA;1
". @timkaine attacking #Trump Supporters ""are like slave owners"".  How disgusting of you to say that. How could he ever Govern impartially?";1
@HillaryClinton That is what Donald is doing but certainly not you;0
@realDonaldTrump Is it cool if I come by after work? I'll be off about 530..;0
@FoxNews starts off at noon beating up on @realDonaldTrump for the first 5 mins u guys suck;1
@FoxNews @HillaryClinton Fox News, Trump is much more trustworthy than H.C. if only because he loves America more than money.;0
"@seanhannity @realDonaldTrump ready to watch.  We r going to win this I feel it!  We are uniting all races&amp;becoming a baton #Trumppence2016";0
@JohnMamola @realDonaldTrump Wow, that's original.;0
He has rough edges and I am concerned about that, but he is definitely the best choice for our country right now. �� https://t.co/KZu436iJml;0
@camnstuff @realDonaldTrump cuz he will fix it. All I need to hear;0
Please #Tanto, make our day! https://t.co/arnahHveES;0
@realDonaldTrump so are you saying the FBI is lying about her not lying?;1
@realDonaldTrump crybaby sore loser ted cruz supporters r running anti trump ads in swing states.these people have no life pathetic;1
@TexansTrump @FoxNews @WSJ @realDonaldTrump only 4 wow I better get ready for this outpour of Trump supporters. How pathetic.;1
@JoeNBC @realDonaldTrump @Morning_Joe @morningmika We all know U r left wing liberal medias.totally bias toward Mr Trump.Shame on yr network;1
@realDonaldTrump @nytimes U R who U say U R: batsh*t crazy!!! The more U protest, the more it appears to be true. https://t.co/6sgGB635Z0;1
@FoxNews @realDonaldTrump @seanhannity What a joke Hannity kissing Trumps A--;1
"Headline:""Hillary Clinton Will Start Traveling W/Press Corps On Larger Aircraft."" This is class envy, not campaign ambition. #NeverHillary";1
"Trump Mental Illness:narcissistic personality disorder
Exaggerating his  achievements and talents @realDonaldTrump @CNNPolitics";1
"@realDonaldTrump Too Bad Ur #Plane is Fancy to have #RoomForPress ... @HillaryClinton's Day2 #PlanePresser was #Amazing!
#ClintonKaine2016";0
Here we go Andrea Bitchell, Welker, Jackson the Trump nose led reporters starting the @HillaryClinton slandering lying mud throwing @MSNBC;1
#imwithher. Mrs. Clinton you look fabulous @!;0
@mitchellreports you need to stay away from Hillary your corrupt and you don't even like the lady Jealous ass #ImWithHer You're HOPING!!!!!!;1
@PaulaRuiz1236 @HillaryClinton Paula just switch from FOX to PBS for a weekYou won't be so angry and your blood pressure will drop.;0
About 80 days to go, what are Americans asking about Donald Trump?  https://t.co/pV2Y25ibWq;0
@seanhannity @HillaryClinton will something be done? The UNTOUCHABLE Clinton criminal syndicate! Pathetic!;1
"""Pretty much every company you can think of has donated to the Clinton Foundation"" @HappilyLiberal @HillaryClinton";0
"@Kris_Sacrebleu @Reince @realDonaldTrump #DespotDonald Thinks he can ""joke"" with insults and demagoguery, he is totally unfit.";1
@my2bits4u @realDonaldTrump Might as well burn those #MakeMexicoGreatAlso hats! #TwoFacedTrump #TwoFacedTrump #NeverTrumpEVER;1
@KcNightfire @HillaryClinton @MSNBC that Damn liberal media again;1
@USAneedsTRUMP @realDonaldTrump @AnnCoulter @HillaryClinton Fools vote for Trump. #DumpTheTrump in the nearest dumpster!;1
".@realDonaldTrump 

#My6WordOpinion   Donald Trump Is A Shit Stain 

https://t.co/sx0zZ7Rofo";1
@thehill @mike_pence @realDonaldTrump  I'll believe we'll be seeing tax returns for @realDonaldTrump when they are evidence in Fraud trial!;1
"@HDRayRay Only a complete idiot would claim #Trump isn't a politician.  Open your eyes.

#NeverTrump";1
Kleptocrat wow that fits her perfect �� https://t.co/fyCv0GwFe2;1
